Entrance Name,Line,Lat,Lon
Dupont Circle,red,38.90868289,-77.04331929
Friendship Heights,red,38.96045308,-77.08576533
Brookland | CUA,red,38.93383432,-76.99504466
Deanwood,orange,38.90826751,-76.93472262
Deanwood,orange,38.90856083,-76.93517248
Shaw | Howard Univ,"green,yellow",38.91278133,-77.02259809
NoMa-Gallaudet U,red,38.90728697,-77.00343047
Takoma,red,38.97510395,-77.01741557
Fort Totten,"red, green, yellow",38.95265387,-77.00249101
Tenleytown | AU,red,38.94807937,-77.07946249
Cleveland Park ,red,38.93598468,-77.05853743
Brookland | CUA,red,38.93363034,-76.99436828
Woodley Park Zoo | Adams Morgan,red,38.92451004,-77.05238323
Rhode Island Ave,red,38.92047849,-76.99607468
U St | African Amer Civil | War Mem | Cardozo,"green,yellow",38.91679407,-77.02596435
Shaw | Howard Univ,"green,yellow",38.91450592,-77.02168416
Dupont Circle,red,38.91094578,-77.0446177
Farragut North,red,38.90393046,-77.03983385
Mt Vernon Sq | 7th St | Convention Cen,"green, yellow",38.90543607,-77.02214996
McPherson Sq,"blue, orange",38.9008826,-77.03213428
Farragut West,"blue, orange",38.90148104,-77.04194689
Farragut West,"blue, orange",38.90125242,-77.03934469
Foggy Bottom | GWU,"blue, orange",38.90090289,-77.05046475
Minnesota Ave,orange,38.89876265,-76.94675067
Metro Center,"red, blue, orange",38.8981638,-77.02681716
Union Station,red,38.89749219,-77.00720207
Judiciary Sq,red,38.89532182,-77.01598703
Federal Triangle,"blue, orange",38.89381031,-77.02865801
Archives | Navy Mem,"green,yellow",38.89394417,-77.02243966
L'Enfant Plaza,"green, yellow, orange, blue",38.8862549,-77.02157749
Smithsonian,"blue, orange",38.88725487,-77.02845663
Stadium | Armory,"blue, orange",38.88566309,-76.97704578
Capitol South,"blue, orange",38.88556979,-77.00605462
Eastern Market,"blue, orange",38.88425287,-76.9958153
Potomac Ave,"blue, orange",38.88084653,-76.98517369
Navy Yard-Ballpark,green,38.87667675,-77.00449748
Waterfront,green,38.87696202,-77.01755756
Friendship Heights Elevator,red,38.95890221,-77.08500576
Gallery Pl | Chinatown Elevator,"red, green, yellow",38.89784547,-77.02174916
Judiciary Sq NE Elevator,red,38.89682971,-77.0174525
Judiciary Sq SW Elevator,red,38.8966537,-77.01765654
L'Enfant Plaza Elevator,"green, yellow, orange, blue",38.8859854,-77.02210001
Potomac Ave Elevator,"blue, orange",38.88107108,-76.98510798
Smithsonian Elevator,"blue, orange",38.88775696,-77.0285359
Stadium | Armory Elevator,"blue, orange",38.88592872,-76.97715411
Takoma Elevator,red,38.97588891,-77.01782397
Van Ness | UDC Elevator,red,38.94397019,-77.06358099
Woodley Park Zoo | Adams Morgan Elevator,red,38.92545707,-77.05287622
Anacostia,green,38.86229836,-76.99507007
Union Station,red,38.89839952,-77.00722876
Judiciary Sq,red,38.89705976,-77.01752528
Columbia Heights,"green,yellow",38.92887625,-77.03242969
L'Enfant Plaza,"green, yellow, orange, blue",38.88425316,-77.02348545
Stadium | Armory,"blue, orange",38.88829078,-76.97706519
Friendship Heights,red,38.96074805,-77.08540212
Minnesota Ave,orange,38.89931071,-76.94712485
Tenleytown | AU,red,38.94828421,-77.08008786
Gallery Pl | Chinatown,"red, green, yellow",38.89754424,-77.02156742
Benning Road,"blue, orange",38.89040523,-76.93744926
Congress Heights,green,38.84465467,-76.98762043
Federal Center SW,"blue, orange",38.88500213,-77.01596219
U St | African Amer Civil | War Mem | Cardozo,"green,yellow",38.91683081,-77.029124
L'Enfant Plaza,"green, yellow, orange, blue",38.88468934,-77.02082805
Navy Yard-Ballpark,green,38.87627832,-77.00713329
Anacostia,green,38.86443598,-76.99602289
Congress Heights,green,38.84539767,-76.9877776
Smithsonian,"blue, orange",38.88907828,-77.02843744
McPherson Sq,"blue, orange",38.90116214,-77.03485716
Anacostia,green,38.86216945,-76.99546645
NoMa-Gallaudet U,red,38.90571764,-77.00382853
Archives | Navy Mem Elevator,"green,yellow",38.89387723,-77.022081
Capitol South Elevator,"blue, orange",38.88518068,-77.00607578
Cleveland Park Elevator,red,38.93577698,-77.05843711
Eastern Market Elevator,"blue, orange",38.88426112,-76.99604045
Federal Triangle Elevator,"blue, orange",38.8937774,-77.02831582
Gallery Pl | Chinatown,"red, green, yellow",38.89816592,-77.02378099
Gallery Pl | Chinatown,"red, green, yellow",38.89964005,-77.02165568
Metro Center,"red, blue, orange",38.89852655,-77.02789388
Metro Center,"red, blue, orange",38.89814113,-77.02945222
Metro Center,"red, blue, orange",38.89712765,-77.02837555
Farragut North,red,38.90358985,-77.04013022
Farragut North,red,38.90278148,-77.03917955
Cleveland Park,red,38.93614552,-77.05900689
Van Ness | UDC,red,38.94455553,-77.06352577
Van Ness | UDC,red,38.94447618,-77.06399597
Georgia Ave | Petworth,"green,yellow",38.93712879,-77.02471477
Georgia Ave | Petworth,"green,yellow",38.93695143,-77.02416081
Columbia Heights,"green,yellow",38.92861892,-77.03303204